"EMPRESA,STAND",Status,Nome 1,Linkedin 1,Nome 2,Linkedin 2
"KONIMAGEM,B-102",,,,,
"BIO INFINITY,E-46",,,,,
"OLIDEF,D-61",,,,,
"Erbe,C-19",,,,,
"LOCMED,E-69",,,,,
"EBD BIOTECH,B-143",,,,,
"Med Flex,B-65",,,,,
"DANIALEX,D-180",,,,,
"High-Tech,G-49",,,,,
"SEBRAE RS,B-115",,,,,
"MONTSERRAT,E-151",,,,,
"DGS Brasil,D-88",,,,,
"CONFIANCE MEDICAL,C-51",,,,,
"MISSNER,E-191",,,,,
"MAGNAMED,C-39",,,,,
"CERAMED,H-210c",,,,,
"D+ SAUDE VEICULOS ESPECIAIS LTDA,L-42",,,,,
"FIRSTLAB,A-162",,,,,
"MANDALA,A-56",,,,,
"Maple Hospitalar,B-191",,,,,
"MERCUR,E-161",,,,,
"MED LIGHT,D-71",,,,,
"TERUMO,G-62",,,,,
"PHOENIX LUFERCO,B-29",,,,,
"BIOCLIN,E-149a",,,,,
"W&H Med,H-170a",,,,,
"Ortosintese,E-61",,,,,
"FUJIFILM DO BRASIL LTDA,J-65",,,,,
"ANATOMIC,F-169",,,,,
"CENTRAL FLEX,J-40d",,,,,
"DORTE,G-166",,,,,
"BD- BECTON DICKINSON,D-56",,,,,
"OLSEN,C-188",,,,,
"Perfetto,F-133",,,,,
"RIVIO,A-104",,,,,
"CM COMANDOS,E-79",,,,,
"HORTRON PRODUTOS MEDICOS,C-171",,,,,
"KARL STORZ,G-61",,,,,
"MUNDI REPRESENTAÇÕES,J-10",,,,,
"Micromar,F-185",,,,,
"Microma,G-169h",,,,,
"SABIE,D-201",,,,,
"TOTVS,D-110",,,,,
"LABORMED,A-67",,,,,
"MP MATERIAIS HOSPITALARES,C-147",,,,,
"Doutores da Alegria,L-39",,,,,
"Vital C,A-84",,,,,
"Live! Healthcare Supplies,D-147",,,,,
"COMEN,E-29",,,,,
"Freedom Veículos Elétricos LTDA,E-118",,,,,
"LIVANOVA,J-12",,,,,
"Russer Brasil,B-41",,,,,
"LABNEWS,C-125",,,,,
"SISNACMED,E-19",,,,,
"DESCARPACK,F-171",,Conrado Araujo,https://www.linkedin.com/in/conradoaraujo/,,
"BAVARIA,G-170",,,,,
"Saúde One Sistemas,B-118",,Adriano Marques,https://www.linkedin.com/in/adrianomarques/,,
"CARDIOVENT COMERCIO E SERVICOS LTDA,H-30",,Gilberto Alfredo,https://www.linkedin.com/in/gilberto-alfredo-0516a74/,,
